name,iteration,solvent,energy,oxidation_states,electronic_scf
Na2S2@FeN4,17.0,Vacuum,-657.1681026658935,"[{'Element': 'C', 'Oxidation States': [0.038, 0.029, 0.029, 0.027, 0.035, -0.016, 0.032, 0.031, 0.095, 0.036, 0.037, 0.034, 0.042, 0.039, -0.003, 0.042, 0.04, 0.026, 0.123, 0.039, 0.033, 0.034, 0.002, 0.044, 0.032, 0.035, 0.033, 0.036, 0.093, 0.03, 0.037, 0.127, 0.043, 0.025, 0.039, 0.031, 0.044, 0.013, 0.034, 0.033, 0.091, 0.044, 0.036, 0.038, 0.038, 0.036, 0.01, 0.034, 0.025, 0.143, 0.032, 0.037, 0.047, 0.124, 0.034, 0.029, 0.036, -0.051, 0.026, 0.042, 0.087, 0.039, 0.041, 0.037, 0.036, 0.016]}, {'Element': 'N', 'Oxidation States': [-0.157, -0.122, -0.144, -0.145]}, {'Element': 'Fe', 'Oxidation States': [-0.009]}, {'Element': 'S', 'Oxidation States': [-0.522, -0.098]}, {'Element': 'Na', 'Oxidation States': [0.846, 0.846]}]",True
Na2S2@FeN4,0.0,Vacuum,-657.016481248502,"[{'Element': 'C', 'Oxidation States': [0.038, 0.029, 0.029, 0.027, 0.035, -0.016, 0.032, 0.031, 0.095, 0.036, 0.037, 0.034, 0.042, 0.039, -0.003, 0.042, 0.04, 0.026, 0.123, 0.039, 0.033, 0.034, 0.002, 0.044, 0.032, 0.035, 0.033, 0.036, 0.093, 0.03, 0.037, 0.127, 0.043, 0.025, 0.039, 0.031, 0.044, 0.013, 0.034, 0.033, 0.091, 0.044, 0.036, 0.038, 0.038, 0.036, 0.01, 0.034, 0.025, 0.143, 0.032, 0.037, 0.047, 0.124, 0.034, 0.029, 0.036, -0.051, 0.026, 0.042, 0.087, 0.039, 0.041, 0.037, 0.036, 0.016]}, {'Element': 'N', 'Oxidation States': [-0.157, -0.122, -0.144, -0.145]}, {'Element': 'Fe', 'Oxidation States': [-0.009]}, {'Element': 'S', 'Oxidation States': [-0.522, -0.098]}, {'Element': 'Na', 'Oxidation States': [0.846, 0.846]}]",True
Na2S2@FeN4,1.0,Vacuum,-657.1388525007036,"[{'Element': 'C', 'Oxidation States': [0.038, 0.029, 0.029, 0.027, 0.035, -0.016, 0.032, 0.031, 0.095, 0.036, 0.037, 0.034, 0.042, 0.039, -0.003, 0.042, 0.04, 0.026, 0.123, 0.039, 0.033, 0.034, 0.002, 0.044, 0.032, 0.035, 0.033, 0.036, 0.093, 0.03, 0.037, 0.127, 0.043, 0.025, 0.039, 0.031, 0.044, 0.013, 0.034, 0.033, 0.091, 0.044, 0.036, 0.038, 0.038, 0.036, 0.01, 0.034, 0.025, 0.143, 0.032, 0.037, 0.047, 0.124, 0.034, 0.029, 0.036, -0.051, 0.026, 0.042, 0.087, 0.039, 0.041, 0.037, 0.036, 0.016]}, {'Element': 'N', 'Oxidation States': [-0.157, -0.122, -0.144, -0.145]}, {'Element': 'Fe', 'Oxidation States': [-0.009]}, {'Element': 'S', 'Oxidation States': [-0.522, -0.098]}, {'Element': 'Na', 'Oxidation States': [0.846, 0.846]}]",True
Na2S2@FeN4,2.0,Vacuum,-657.1485275759819,"[{'Element': 'C', 'Oxidation States': [0.038, 0.029, 0.029, 0.027, 0.035, -0.016, 0.032, 0.031, 0.095, 0.036, 0.037, 0.034, 0.042, 0.039, -0.003, 0.042, 0.04, 0.026, 0.123, 0.039, 0.033, 0.034, 0.002, 0.044, 0.032, 0.035, 0.033, 0.036, 0.093, 0.03, 0.037, 0.127, 0.043, 0.025, 0.039, 0.031, 0.044, 0.013, 0.034, 0.033, 0.091, 0.044, 0.036, 0.038, 0.038, 0.036, 0.01, 0.034, 0.025, 0.143, 0.032, 0.037, 0.047, 0.124, 0.034, 0.029, 0.036, -0.051, 0.026, 0.042, 0.087, 0.039, 0.041, 0.037, 0.036, 0.016]}, {'Element': 'N', 'Oxidation States': [-0.157, -0.122, -0.144, -0.145]}, {'Element': 'Fe', 'Oxidation States': [-0.009]}, {'Element': 'S', 'Oxidation States': [-0.522, -0.098]}, {'Element': 'Na', 'Oxidation States': [0.846, 0.846]}]",True
Na2S2@FeN4,3.0,Vacuum,-657.1558180727576,"[{'Element': 'C', 'Oxidation States': [0.038, 0.029, 0.029, 0.027, 0.035, -0.016, 0.032, 0.031, 0.095, 0.036, 0.037, 0.034, 0.042, 0.039, -0.003, 0.042, 0.04, 0.026, 0.123, 0.039, 0.033, 0.034, 0.002, 0.044, 0.032, 0.035, 0.033, 0.036, 0.093, 0.03, 0.037, 0.127, 0.043, 0.025, 0.039, 0.031, 0.044, 0.013, 0.034, 0.033, 0.091, 0.044, 0.036, 0.038, 0.038, 0.036, 0.01, 0.034, 0.025, 0.143, 0.032, 0.037, 0.047, 0.124, 0.034, 0.029, 0.036, -0.051, 0.026, 0.042, 0.087, 0.039, 0.041, 0.037, 0.036, 0.016]}, {'Element': 'N', 'Oxidation States': [-0.157, -0.122, -0.144, -0.145]}, {'Element': 'Fe', 'Oxidation States': [-0.009]}, {'Element': 'S', 'Oxidation States': [-0.522, -0.098]}, {'Element': 'Na', 'Oxidation States': [0.846, 0.846]}]",True
Na2S2@FeN4,4.0,Vacuum,-657.1570880936681,"[{'Element': 'C', 'Oxidation States': [0.038, 0.029, 0.029, 0.027, 0.035, -0.016, 0.032, 0.031, 0.095, 0.036, 0.037, 0.034, 0.042, 0.039, -0.003, 0.042, 0.04, 0.026, 0.123, 0.039, 0.033, 0.034, 0.002, 0.044, 0.032, 0.035, 0.033, 0.036, 0.093, 0.03, 0.037, 0.127, 0.043, 0.025, 0.039, 0.031, 0.044, 0.013, 0.034, 0.033, 0.091, 0.044, 0.036, 0.038, 0.038, 0.036, 0.01, 0.034, 0.025, 0.143, 0.032, 0.037, 0.047, 0.124, 0.034, 0.029, 0.036, -0.051, 0.026, 0.042, 0.087, 0.039, 0.041, 0.037, 0.036, 0.016]}, {'Element': 'N', 'Oxidation States': [-0.157, -0.122, -0.144, -0.145]}, {'Element': 'Fe', 'Oxidation States': [-0.009]}, {'Element': 'S', 'Oxidation States': [-0.522, -0.098]}, {'Element': 'Na', 'Oxidation States': [0.846, 0.846]}]",True
Na2S2@FeN4,5.0,Vacuum,-657.1605687559464,"[{'Element': 'C', 'Oxidation States': [0.038, 0.029, 0.029, 0.027, 0.035, -0.016, 0.032, 0.031, 0.095, 0.036, 0.037, 0.034, 0.042, 0.039, -0.003, 0.042, 0.04, 0.026, 0.123, 0.039, 0.033, 0.034, 0.002, 0.044, 0.032, 0.035, 0.033, 0.036, 0.093, 0.03, 0.037, 0.127, 0.043, 0.025, 0.039, 0.031, 0.044, 0.013, 0.034, 0.033, 0.091, 0.044, 0.036, 0.038, 0.038, 0.036, 0.01, 0.034, 0.025, 0.143, 0.032, 0.037, 0.047, 0.124, 0.034, 0.029, 0.036, -0.051, 0.026, 0.042, 0.087, 0.039, 0.041, 0.037, 0.036, 0.016]}, {'Element': 'N', 'Oxidation States': [-0.157, -0.122, -0.144, -0.145]}, {'Element': 'Fe', 'Oxidation States': [-0.009]}, {'Element': 'S', 'Oxidation States': [-0.522, -0.098]}, {'Element': 'Na', 'Oxidation States': [0.846, 0.846]}]",True
Na2S2@FeN4,6.0,Vacuum,-657.1633480207968,"[{'Element': 'C', 'Oxidation States': [0.038, 0.029, 0.029, 0.027, 0.035, -0.016, 0.032, 0.031, 0.095, 0.036, 0.037, 0.034, 0.042, 0.039, -0.003, 0.042, 0.04, 0.026, 0.123, 0.039, 0.033, 0.034, 0.002, 0.044, 0.032, 0.035, 0.033, 0.036, 0.093, 0.03, 0.037, 0.127, 0.043, 0.025, 0.039, 0.031, 0.044, 0.013, 0.034, 0.033, 0.091, 0.044, 0.036, 0.038, 0.038, 0.036, 0.01, 0.034, 0.025, 0.143, 0.032, 0.037, 0.047, 0.124, 0.034, 0.029, 0.036, -0.051, 0.026, 0.042, 0.087, 0.039, 0.041, 0.037, 0.036, 0.016]}, {'Element': 'N', 'Oxidation States': [-0.157, -0.122, -0.144, -0.145]}, {'Element': 'Fe', 'Oxidation States': [-0.009]}, {'Element': 'S', 'Oxidation States': [-0.522, -0.098]}, {'Element': 'Na', 'Oxidation States': [0.846, 0.846]}]",True
Na2S2@FeN4,7.0,Vacuum,-657.1649015532699,"[{'Element': 'C', 'Oxidation States': [0.038, 0.029, 0.029, 0.027, 0.035, -0.016, 0.032, 0.031, 0.095, 0.036, 0.037, 0.034, 0.042, 0.039, -0.003, 0.042, 0.04, 0.026, 0.123, 0.039, 0.033, 0.034, 0.002, 0.044, 0.032, 0.035, 0.033, 0.036, 0.093, 0.03, 0.037, 0.127, 0.043, 0.025, 0.039, 0.031, 0.044, 0.013, 0.034, 0.033, 0.091, 0.044, 0.036, 0.038, 0.038, 0.036, 0.01, 0.034, 0.025, 0.143, 0.032, 0.037, 0.047, 0.124, 0.034, 0.029, 0.036, -0.051, 0.026, 0.042, 0.087, 0.039, 0.041, 0.037, 0.036, 0.016]}, {'Element': 'N', 'Oxidation States': [-0.157, -0.122, -0.144, -0.145]}, {'Element': 'Fe', 'Oxidation States': [-0.009]}, {'Element': 'S', 'Oxidation States': [-0.522, -0.098]}, {'Element': 'Na', 'Oxidation States': [0.846, 0.846]}]",True
Na2S2@FeN4,9.0,Vacuum,-657.1669246009129,"[{'Element': 'C', 'Oxidation States': [0.038, 0.029, 0.029, 0.027, 0.035, -0.016, 0.032, 0.031, 0.095, 0.036, 0.037, 0.034, 0.042, 0.039, -0.003, 0.042, 0.04, 0.026, 0.123, 0.039, 0.033, 0.034, 0.002, 0.044, 0.032, 0.035, 0.033, 0.036, 0.093, 0.03, 0.037, 0.127, 0.043, 0.025, 0.039, 0.031, 0.044, 0.013, 0.034, 0.033, 0.091, 0.044, 0.036, 0.038, 0.038, 0.036, 0.01, 0.034, 0.025, 0.143, 0.032, 0.037, 0.047, 0.124, 0.034, 0.029, 0.036, -0.051, 0.026, 0.042, 0.087, 0.039, 0.041, 0.037, 0.036, 0.016]}, {'Element': 'N', 'Oxidation States': [-0.157, -0.122, -0.144, -0.145]}, {'Element': 'Fe', 'Oxidation States': [-0.009]}, {'Element': 'S', 'Oxidation States': [-0.522, -0.098]}, {'Element': 'Na', 'Oxidation States': [0.846, 0.846]}]",True
